doi,link,adminstration,Dye type,Dye,modification,ev type (cell source),Cell Type,Time,treated with,conditions/notes,Targeted/Surface Modified EV?,Animal strain,diease model,Dose (num_value),Dose Units,By wt,units,Liver,Lung,Spleen,Kidney,Heart,Tumor,Bone,Brain,Pancreas,Muscle,Stomach,Intestine,L GIT,S GIT,Urine,Stool,thymus,blood,mLN,iLN,lymph nodes,thyroid
10.1186/s13287-023-03472-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171132470&doi=10.1186%2fs13287-023-03472-8&partnerID=40&md5=dd532ee95b5f75d38818b85bcdb3e7a10,IV injection,Fluoroscent protein,DiR,,Human Umbilical Chord Mesenchymal Stem cell (hucMSC),Stem cells,3h,MSC-EV,Healthy Control,no,C57BL/6,Acute lung injury,15,ug,,Radient efficiency (p/s/cm2/sr) / (uW/cm2) x 10^6,59.21990344580964,121.0248026769521,40.78009655419035,1.092748218345299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1186/s13287-023-03472-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171132470&doi=10.1186%2fs13287-023-03472-8&partnerID=40&md5=dd532ee95b5f75d38818b85bcdb3e7a10,IV injection,Fluoroscent protein,DiR,,Human Umbilical Chord Mesenchymal Stem cell (hucMSC),Stem cells,10h,MSC-EV,Healthy Control,no,C57BL/6,Acute lung injury,15,ug,,Radient efficiency (p/s/cm2/sr) / (uW/cm2) x 10^6,47.96163069544369,89.68824940047966,52.03836930455631,1.6642685851318868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.ejphar.2023.175523,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160220596&doi=10.1016%2fj.ejphar.2023.175523&partnerID=40&md5=fb6205fbb63977bc689e9e4305a686dc,IV injection,Fluoroscent protein,DiR,,Human Umbilical Chord Mesenchymal Stem cell (hucMSC),Stem cells,3h,hucMSC-Exos,Healthy Control,no,C57BL/6 ,Partial outlet bladder obstruction,n/a,n/a,,DiR intensity,51.02599179206566,34.06292749658002,48.97400820793434,41.4500683994528,21.203830369357046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.biomaterials.2021.121000,,IV injection,Fluoroscent protein,DIL,,MSC,Stem cells,8h,,,no,20-25g 10-week-old male C57BL/6 mice, myocardial ischemia reperfusion injury (I/R),200,,,,67.82500607993083,4.503202096900586,32.17499392006918,NA,0.6363660929013429,NA,NA,3.5790526116680628,4.147188369767882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1124/jpet.119.257097,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071712075&doi=10.1124%2fjpet.119.257097&partnerID=40&md5=3631320ede3f663606f16bce7cfdbba9,retro orbital venous sinus injection,Fluoroscent protein,DiR,,B16F10,Cancer,4h,CTR (CVs),*cellular vesicles,Yes control,"B16F10 matched for sex (male-female), weight (20–25 g), and age (6–12 weeks)",health,200,ug lipid/mouse,,BLI signal/dose,85.6937301819926,11.682590931178026,14.306269818007408,NA,NA,NA,NA,0.3610245114148759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.18632/oncotarget.22493,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038100701&doi=10.18632%2foncotarget.22493&partnerID=40&md5=2185cdb0c9a3b6b93e29d83c4c5316cb,IV injection,Fluoroscent protein,DiR,,CAL-62,Cancer ,3h,,,no,Female BALB/c nude mice (5.5 weeks old),healthy,25,ug (in terms of protein),,Fluorescent (p/s),95.45454545454547,6.060606060606073,4.545454545454533,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.jconrel.2023.07.043,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166316583&doi=10.1016%2fj.jconrel.2023.07.043&partnerID=40&md5=4fb50d87d5d7e6cf8895ba9931cab0a6,IV injection,Fluoroscent protein,DiR,,B16F0,Cancer,3h,,,no,,Healthy,10,ug,,Radiant efficiency X10^10,93.14591505434761,NA,6.8540849456524,0.3897230761177189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010961300664964965,NA
10.1016/j.ijpharm.2021.121263,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118721085&doi=10.1016%2fj.ijpharm.2021.121263&partnerID=40&md5=8ce612343c623f7a646a446a0cc74667,IV injection,Fluoroscent protein,HiLyte,,bovine milk exosomes,Milk,3h,,males,No,C57BL/6J ,N/A,100000000000,particles / gram body weight,,percent tissue distribution,83.46456692913387,49.34383202099728,16.535433070866134,9.973753280839903,2.3622047244094664,NA,NA,1.312335958005256,NA,NA,NA,5.511811023622056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.ijpharm.2021.121263,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118721085&doi=10.1016%2fj.ijpharm.2021.121263&partnerID=40&md5=8ce612343c623f7a646a446a0cc74667,IV injection,Fluoroscent protein,HiLyte,,bovine milk exosomes,Milk,3h,,females,No,C57BL/6J ,N/A,100000000000,particles / gram body weight,,percent tissue distribution,81.59203980099501,60.94527363184079,18.40796019900499,14.676616915422876,5.721393034825874,NA,NA,0.24875621890547017,NA,NA,NA,17.66169154228856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1038/s41598-018-29780-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050722237&doi=10.1038%2fs41598-018-29780-1&partnerID=40&md5=2d6b7c1ed3d57d06fe3bcc02e9aa8387,IV injection,Fluoroscent protein,DiR,,bovine milk,Milk,3h,,,no,"female Balb/c mice, ages 8 to 20 weeks",Drosha homozygous knockout,1000000000000,exosome/g body weight,,Fluorescence (normalized by background),45.652173913043484,30.917874396135247,54.34782608695651,1.4492753623188372,10.38647342995173,NA,NA,0.7246376811594193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1038/s41598-018-29780-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050722237&doi=10.1038%2fs41598-018-29780-1&partnerID=40&md5=2d6b7c1ed3d57d06fe3bcc02e9aa8387,IV injection,Fluoroscent protein,DiR,,bovine milk,Milk,6h,,,no,"female Balb/c mice, ages 8 to 20 weeks",Drosha homozygous knockout,1000000000000,exosome/g body weight,,Fluorescence (normalized by background),36.363636363636346,18.181818181818173,63.636363636363654,1.0489510489510472,7.342657342657345,NA,NA,0.6993006993006937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
