doi,link,adminstration,Dye type,Dye,modification,ev type (cell source),Cell Type,Time,treated with,conditions/notes,Targeted/Surface Modified EV?,Animal strain,diease model,Dose (num_value),Dose Units,By wt,units,Liver,Lung,Spleen,Kidney,Heart,Tumor,Bone,Brain,Pancreas,Muscle,Stomach,Intestine,L GIT,S GIT,Urine,Stool,thymus,blood,mLN,iLN,lymph nodes,thyroid
10.1016/j.jconrel.2020.01.042,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078679403&doi=10.1016%2fj.jconrel.2020.01.042&partnerID=40&md5=9c1fe4cecbbb88d44b0f666348c00586,IV injection,Fluoroscent,cyanine 5.5 N-hydroxysuccinimide (NHS) monoester,,adipose derived stem cells,Stem cells,24h,,normal mice,No,male C57BL/6,N/A,200,microliters,,Fluorescence intensity,98.37398373983739,4.065040650406511,1.6260162601626094,3.252032520325225,0.8130081300812853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1016/j.biomaterials.2020.120152,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085619335&doi=10.1016%2fj.biomaterials.2020.120152&partnerID=40&md5=f500c7de7f975b2ff7bd8fb66f72a61b,IV injection,lipid,DiR,,BMSC,Stem cells,24h,,normal mice,No,BALB/c,N/A,100,micrograms,,% of total DiR signal,91.38903126601743,1.5148340217686278,8.61096873398258,0.18361624506286342,0.07650676877619307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.7150/thno.43968,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088882271&doi=10.7150%2fthno.43968&partnerID=40&md5=e910bbaa10becb830553b2e943b64a0a,IV injection,lipid,DiR,,brown adipose tissue,Stem cells,24h,,,No,male C57BL/6J mice aged 8 weeks,obesity,100,ug,,Fluorescence intensity,87.25868725868725,8.880308880308927,12.741312741312752,3.088803088803115,1.9305019305019506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1038/s41598-018-34557-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056142555&doi=10.1038%2fs41598-018-34557-7&partnerID=40&md5=ca9f6963ec3fbbd9aecb8389cc7d8ee5,IV injection,lipid,DiR,,Endothelial colony forming cell,Stem cells,24h,,sham mice,no,7–10-week old male FVB mice,sham,20,ug,,DiR fluorescence (Fold change),50,49.73118279569884,50,49.73118279569884,49.73118279569884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3892/ijmm.2014.1663,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899577244&doi=10.3892%2fijmm.2014.1663&partnerID=40&md5=74a1e8b5bdc7b2cea5f7cbc8d4f44c49,IV injection,lipid,DiD,"compared two different labeling procedures, one based on direct EV labeling (DL-EV), and the other on the production of labeled EVs by donor cells pre-treated with the dye (LCD-EV). : i) Cells
were stained in suspension and incubated with 5 µM Vybrant Cell Tracers DiD solution without serum for 20 min at 37˚C. Cells were then washed in complete medium by centrifugation and cultivated for 24 h prior to supernatant collection. i) EVs were isolated by ultracentrifugation as previously described (LCD-EVs) (4,13). ii) EVs were directly labeled with 1 µM Vybrant Cell Tracers DiI or DiD during the ultracentrifugationn procedure (DL-EVs) and then washed twice by ultracentrifugation in 1X phosphate-buffered saline (PBS) (28).",MSC,Stem cells,24h,DL-EV,healthy mice,no,Male CD1 nude mice (6-8 weeks old),healthy mice,200,ug,,fluorescence,66.3755458515284,7.8602620087336526,33.6244541484716,0.937028119005828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194167639&doi=10.1016%2fj.jcyt.2024.04.074&partnerID=40&md5=a6ad14e03f101b833f64af1bd558759f,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194167639&doi=10.1016%2fj.jcyt.2024.04.074&partnerID=40&md5=a6ad14e03f101b833f64af1bd558759f,IV injection,lipid,DiR,,huMSC,Stem cells,24h,hUCMSC-EV,,no,BALB/c,Healthy Mouse,31 ug,protein / 100 uL / mouse,,Photons / s,76.62273074023649,20.237265874396684,23.377269259763512,7.897469617406087,8.952996875357371,NA,NA,11.476010431709534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.3390/ijms24065258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151457840&doi=10.3390%2fijms24065258&partnerID=40&md5=176d3c36b1b2369c0904b654e0135d49,IV injection,lipid,DiR,Passage 15 cells,Induced Pluripotent Stem Cell-Derived Mesenchymal Stem Cell (iMSC),Stem cells,24h,PD15 iEVs,,no,NOD.B10.H2b,Healthy,15000000000,particles,,% of total DiR signal,44.14303385143554,17.879168441356015,55.85696614856446,6.165228585656681,2.096178021466088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.36991391670127866,NA
10.3390/ijms24065258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151457840&doi=10.3390%2fijms24065258&partnerID=40&md5=176d3c36b1b2369c0904b654e0135d49,IV injection,lipid,DiR,Passage 45 cells,Induced Pluripotent Stem Cell-Derived Mesenchymal Stem Cell (iMSC),Stem cells,24h,PD45 iEVs,,no,NOD.B10.H2b,Healthy,15000000000,particles,,% of total DiR signal,52.1205343271475,7.812500890822707,47.879465672852504,4.799107364290216,1.5625001781645413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22321479984624826,NA
10.3390/pharmaceutics15020548,,IV injection,lipid,DIR,,MSC,Stem cells,24h,,,no,6- to 8-week-old BALB/c male mice,Healthy Mouse,200000000000,particles,,Radient Efficiency,77.5735294117647,9.926470588235285,22.426470588235293,0.7352941176470672,1.102941176470617,NA,NA,0.7352941176470672,NA,NA,NA,NA,2.205882352941213,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.1002/adhm.202202453,,IV injection,lipid,DIR ,,MSC,Stem cells,24h,,,no,Female BALB/c mice (6–8 weeks old),Healthy Mouse,100000000000,particles,,,43.90800691738542,1.4864672796976568,56.091993082614586,2.0490404496566903,NA,NA,NA,0.08720618569058648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
